code_fiche;code_bonification;date_debut;date_fin
TRA-SE-115;CDC-CD;2023-01-01;2023-12-31
TRA-SE-114;CDC-LD;2023-01-01;2023-12-31
BAR-EN-101;CDP-EN;2019-01-11;2020-08-31
BAR-EN-103;CDP-EN;2019-01-11;2020-08-31
BAR-TH-104;CDP-TH;2019-01-11;2025-12-31
BAR-TH-106;CDP-TH;2019-01-11;2023-12-31
BAR-TH-112;CDP-TH;2019-01-11;2025-12-31
BAR-TH-113;CDP-TH;2019-01-11;2025-12-31
BAR-TH-137;CDP-TH;2019-01-11;2025-12-31
BAR-TH-143;CDP-TH;2019-01-11;2025-12-31
BAR-TH-158;CDP-TH;2019-01-11;2025-12-31
BAR-TH-159;CDP-TH;2019-01-11;2025-12-31
BAR-TH-163;CDP-TH;2019-01-11;2025-12-31
BAR-TH-171;CDP-TH;2019-01-11;2025-12-31
BAR-TH-172;CDP-TH;2019-01-11;2025-12-31
BAR-TH-137;CFT;2020-05-20;2025-12-31
BAR-TH-150;CFT;2020-05-20;2025-12-31
BAR-TH-165;CFT;2020-05-20;2025-12-31
BAR-TH-166;CFT;2020-05-20;2025-12-31
BAT-TH-102;CFT;2020-05-20;2025-12-31
BAT-TH-113;CFT;2020-05-20;2025-12-31
BAT-TH-127;CFT;2020-05-20;2025-12-31
BAT-TH-140;CFT;2020-05-20;2025-12-31
BAT-TH-141;CFT;2020-05-20;2025-12-31
BAT-TH-157;CFT;2020-05-20;2025-12-31
BAR-TH-145;CRC;2020-10-12;2025-12-31
BAR-TH-164;CRM;2020-10-12;2025-12-31
BAR-TH-118;CTH;2020-06-25;2021-12-31
AGRI-EQ-101;ZNI;2015-01-01;
AGRI-EQ-102;ZNI;2015-01-01;
AGRI-EQ-104;ZNI;2015-01-01;
AGRI-EQ-105;ZNI;2015-01-01;
AGRI-EQ-107;ZNI;2015-01-01;
AGRI-EQ-108;ZNI;2015-01-01;
AGRI-EQ-109;ZNI;2015-01-01;
AGRI-EQ-110;ZNI;2015-01-01;
AGRI-SE-101;ZNI;2015-01-01;
AGRI-TH-101;ZNI;2015-01-01;
AGRI-TH-102;ZNI;2015-01-01;
AGRI-TH-103;ZNI;2015-01-01;
AGRI-TH-104;ZNI;2015-01-01;
AGRI-TH-105;ZNI;2015-01-01;
AGRI-TH-108;ZNI;2015-01-01;
AGRI-TH-109;ZNI;2015-01-01;
AGRI-TH-110;ZNI;2015-01-01;
AGRI-TH-113;ZNI;2015-01-01;
AGRI-TH-116;ZNI;2015-01-01;
AGRI-TH-117;ZNI;2015-01-01;
AGRI-TH-118;ZNI;2015-01-01;
AGRI-TH-119;ZNI;2015-01-01;
AGRI-UT-101;ZNI;2015-01-01;
AGRI-UT-102;ZNI;2015-01-01;
AGRI-UT-103;ZNI;2015-01-01;
AGRI-UT-104;ZNI;2015-01-01;
BAR-EN-101;ZNI;2015-01-01;
BAR-EN-102;ZNI;2015-01-01;
BAR-EN-103;ZNI;2015-01-01;
BAR-EN-104;ZNI;2015-01-01;
BAR-EN-105;ZNI;2015-01-01;
BAR-EN-106;ZNI;2015-01-01;
BAR-EN-107;ZNI;2015-01-01;
BAR-EN-108;ZNI;2015-01-01;
BAR-EN-109;ZNI;2015-01-01;
BAR-EN-110;ZNI;2015-01-01;
BAR-EQ-101;ZNI;2015-01-01;
BAR-EQ-102;ZNI;2015-01-01;
BAR-EQ-103;ZNI;2015-01-01;
BAR-EQ-110;ZNI;2015-01-01;
BAR-EQ-111;ZNI;2015-01-01;
BAR-EQ-112;ZNI;2015-01-01;
BAR-EQ-113;ZNI;2015-01-01;
BAR-EQ-114;ZNI;2015-01-01;
BAR-EQ-115;ZNI;2015-01-01;
BAR-SE-104;ZNI;2015-01-01;
BAR-SE-105;ZNI;2015-01-01;
BAR-SE-106;ZNI;2015-01-01;
BAR-SE-107;ZNI;2015-01-01;
BAR-SE-108;ZNI;2015-01-01;
BAR-SE-109;ZNI;2015-01-01;
BAR-TH-101;ZNI;2015-01-01;
BAR-TH-102;ZNI;2015-01-01;
BAR-TH-104;ZNI;2015-01-01;
BAR-TH-106;ZNI;2015-01-01;
BAR-TH-107;ZNI;2015-01-01;
BAR-TH-107-SE;ZNI;2015-01-01;
BAR-TH-110;ZNI;2015-01-01;
BAR-TH-111;ZNI;2015-01-01;
BAR-TH-112;ZNI;2015-01-01;
BAR-TH-113;ZNI;2015-01-01;
BAR-TH-115;ZNI;2015-01-01;
BAR-TH-116;ZNI;2015-01-01;
BAR-TH-117;ZNI;2015-01-01;
BAR-TH-118;ZNI;2015-01-01;
BAR-TH-121;ZNI;2015-01-01;
BAR-TH-122;ZNI;2015-01-01;
BAR-TH-123;ZNI;2015-01-01;
BAR-TH-124;ZNI;2015-01-01;
BAR-TH-125;ZNI;2015-01-01;
BAR-TH-127;ZNI;2015-01-01;
BAR-TH-129;ZNI;2015-01-01;
BAR-TH-130;ZNI;2015-01-01;
BAR-TH-131;ZNI;2015-01-01;
BAR-TH-135;ZNI;2015-01-01;
BAR-TH-137;ZNI;2015-01-01;
BAR-TH-139;ZNI;2015-01-01;
BAR-TH-141;ZNI;2015-01-01;
BAR-TH-143;ZNI;2015-01-01;
BAR-TH-145;ZNI;2015-01-01;
BAR-TH-148;ZNI;2015-01-01;
BAR-TH-150;ZNI;2015-01-01;
BAR-TH-155;ZNI;2015-01-01;
BAR-TH-158;ZNI;2015-01-01;
BAR-TH-159;ZNI;2015-01-01;
BAR-TH-160;ZNI;2015-01-01;
BAR-TH-161;ZNI;2015-01-01;
BAR-TH-162;ZNI;2015-01-01;
BAR-TH-163;ZNI;2015-01-01;
BAR-TH-164;ZNI;2015-01-01;
BAR-TH-165;ZNI;2015-01-01;
BAR-TH-166;ZNI;2015-01-01;
BAR-TH-167;ZNI;2015-01-01;
BAR-TH-168;ZNI;2015-01-01;
BAR-TH-169;ZNI;2015-01-01;
BAR-TH-170;ZNI;2015-01-01;
BAR-TH-171;ZNI;2015-01-01;
BAR-TH-172;ZNI;2015-01-01;
BAT-EN-101;ZNI;2015-01-01;
BAT-EN-102;ZNI;2015-01-01;
BAT-EN-103;ZNI;2015-01-01;
BAT-EN-104;ZNI;2015-01-01;
BAT-EN-106;ZNI;2015-01-01;
BAT-EN-107;ZNI;2015-01-01;
BAT-EN-108;ZNI;2015-01-01;
BAT-EN-109;ZNI;2015-01-01;
BAT-EN-110;ZNI;2015-01-01;
BAT-EN-111;ZNI;2015-01-01;
BAT-EN-112;ZNI;2015-01-01;
BAT-EN-113;ZNI;2015-01-01;
BAT-EQ-111;ZNI;2015-01-01;
BAT-EQ-114;ZNI;2015-01-01;
BAT-EQ-116;ZNI;2015-01-01;
BAT-EQ-117;ZNI;2015-01-01;
BAT-EQ-123;ZNI;2015-01-01;
BAT-EQ-124;ZNI;2015-01-01;
BAT-EQ-125;ZNI;2015-01-01;
BAT-EQ-126;ZNI;2015-01-01;
BAT-EQ-127;ZNI;2015-01-01;
BAT-EQ-129;ZNI;2015-01-01;
BAT-EQ-130;ZNI;2015-01-01;
BAT-EQ-131;ZNI;2015-01-01;
BAT-EQ-132;ZNI;2015-01-01;
BAT-EQ-133;ZNI;2015-01-01;
BAT-EQ-134;ZNI;2015-01-01;
BAT-SE-103;ZNI;2015-01-01;
BAT-SE-104;ZNI;2015-01-01;
BAT-TH-102;ZNI;2015-01-01;
BAT-TH-103;ZNI;2015-01-01;
BAT-TH-104;ZNI;2015-01-01;
BAT-TH-105;ZNI;2015-01-01;
BAT-TH-106;ZNI;2015-01-01;
BAT-TH-108;ZNI;2015-01-01;
BAT-TH-109;ZNI;2015-01-01;
BAT-TH-110;ZNI;2015-01-01;
BAT-TH-111;ZNI;2015-01-01;
BAT-TH-112;ZNI;2015-01-01;
BAT-TH-113;ZNI;2015-01-01;
BAT-TH-115;ZNI;2015-01-01;
BAT-TH-116;ZNI;2015-01-01;
BAT-TH-119;ZNI;2015-01-01;
BAT-TH-121;ZNI;2015-01-01;
BAT-TH-122;ZNI;2015-01-01;
BAT-TH-125;ZNI;2015-01-01;
BAT-TH-126;ZNI;2015-01-01;
BAT-TH-127;ZNI;2015-01-01;
BAT-TH-134;ZNI;2015-01-01;
BAT-TH-135;ZNI;2015-01-01;
BAT-TH-139;ZNI;2015-01-01;
BAT-TH-140;ZNI;2015-01-01;
BAT-TH-141;ZNI;2015-01-01;
BAT-TH-142;ZNI;2015-01-01;
BAT-TH-143;ZNI;2015-01-01;
BAT-TH-145;ZNI;2015-01-01;
BAT-TH-146;ZNI;2015-01-01;
BAT-TH-153;ZNI;2015-01-01;
BAT-TH-154;ZNI;2015-01-01;
BAT-TH-155;ZNI;2015-01-01;
BAT-TH-156;ZNI;2015-01-01;
BAT-TH-157;ZNI;2015-01-01;
BAT-TH-158;ZNI;2015-01-01;
BAT-TH-159;ZNI;2015-01-01;
BAT-TH-160;ZNI;2015-01-01;
IND-BA-110;ZNI;2015-01-01;
IND-BA-112;ZNI;2015-01-01;
IND-BA-113;ZNI;2015-01-01;
IND-BA-114;ZNI;2015-01-01;
IND-BA-115;ZNI;2015-01-01;
IND-BA-116;ZNI;2015-01-01;
IND-BA-117;ZNI;2015-01-01;
IND-EN-101;ZNI;2015-01-01;
IND-EN-102;ZNI;2015-01-01;
IND-UT-102;ZNI;2015-01-01;
IND-UT-103;ZNI;2015-01-01;
IND-UT-104;ZNI;2015-01-01;
IND-UT-105;ZNI;2015-01-01;
IND-UT-112;ZNI;2015-01-01;
IND-UT-113;ZNI;2015-01-01;
IND-UT-114;ZNI;2015-01-01;
IND-UT-115;ZNI;2015-01-01;
IND-UT-116;ZNI;2015-01-01;
IND-UT-117;ZNI;2015-01-01;
IND-UT-118;ZNI;2015-01-01;
IND-UT-120;ZNI;2015-01-01;
IND-UT-121;ZNI;2015-01-01;
IND-UT-122;ZNI;2015-01-01;
IND-UT-123;ZNI;2015-01-01;
IND-UT-124;ZNI;2015-01-01;
IND-UT-125;ZNI;2015-01-01;
IND-UT-127;ZNI;2015-01-01;
IND-UT-129;ZNI;2015-01-01;
IND-UT-130;ZNI;2015-01-01;
IND-UT-131;ZNI;2015-01-01;
IND-UT-132;ZNI;2015-01-01;
IND-UT-133;ZNI;2015-01-01;
IND-UT-134;ZNI;2015-01-01;
IND-UT-135;ZNI;2015-01-01;
IND-UT-136;ZNI;2015-01-01;
RES-CH-101;ZNI;2015-01-01;
RES-CH-103;ZNI;2015-01-01;
RES-CH-104;ZNI;2015-01-01;
RES-CH-105;ZNI;2015-01-01;
RES-CH-106;ZNI;2015-01-01;
RES-CH-107;ZNI;2015-01-01;
RES-CH-108;ZNI;2015-01-01;
RES-EC-101;ZNI;2015-01-01;
RES-EC-102;ZNI;2015-01-01;
RES-EC-103;ZNI;2015-01-01;
RES-EC-104;ZNI;2015-01-01;
RES-EC-107;ZNI;2015-01-01;
TRA-EQ-101;ZNI;2015-01-01;
TRA-EQ-103;ZNI;2015-01-01;
TRA-EQ-104;ZNI;2015-01-01;
TRA-EQ-106;ZNI;2015-01-01;
TRA-EQ-107;ZNI;2015-01-01;
TRA-EQ-108;ZNI;2015-01-01;
TRA-EQ-109;ZNI;2015-01-01;
TRA-EQ-110;ZNI;2015-01-01;
TRA-EQ-111;ZNI;2015-01-01;
TRA-EQ-113;ZNI;2015-01-01;
TRA-EQ-114;ZNI;2015-01-01;
TRA-EQ-115;ZNI;2015-01-01;
TRA-EQ-117;ZNI;2015-01-01;
TRA-EQ-118;ZNI;2015-01-01;
TRA-EQ-119;ZNI;2015-01-01;
TRA-EQ-120;ZNI;2015-01-01;
TRA-EQ-121;ZNI;2015-01-01;
TRA-EQ-123;ZNI;2015-01-01;
TRA-EQ-124;ZNI;2015-01-01;
TRA-EQ-125;ZNI;2015-01-01;
TRA-EQ-126;ZNI;2015-01-01;
TRA-SE-101;ZNI;2015-01-01;
TRA-SE-102;ZNI;2015-01-01;
TRA-SE-104;ZNI;2015-01-01;
TRA-SE-105;ZNI;2015-01-01;
TRA-SE-106;ZNI;2015-01-01;
TRA-SE-107;ZNI;2015-01-01;
TRA-SE-108;ZNI;2015-01-01;
TRA-SE-109;ZNI;2015-01-01;
TRA-SE-110;ZNI;2015-01-01;
TRA-SE-111;ZNI;2015-01-01;
TRA-SE-112;ZNI;2015-01-01;
TRA-SE-113;ZNI;2015-01-01;
TRA-SE-114;ZNI;2015-01-01;
TRA-SE-115;ZNI;2015-01-01;
TRA-SE-116;ZNI;2015-01-01;
TRA-EQ-127;ZNI;2015-01-01;
BAR-EN-101;CPE;2015-01-01;
BAR-EN-102;CPE;2015-01-01;
BAR-EN-103;CPE;2015-01-01;
BAR-EN-104;CPE;2015-01-01;
BAR-EN-105;CPE;2015-01-01;
BAR-EN-106;CPE;2015-01-01;
BAR-EN-107;CPE;2015-01-01;
BAR-EN-108;CPE;2015-01-01;
BAR-EN-109;CPE;2015-01-01;
BAR-EN-110;CPE;2015-01-01;
BAR-EQ-101;CPE;2015-01-01;
BAR-EQ-102;CPE;2015-01-01;
BAR-EQ-103;CPE;2015-01-01;
BAR-EQ-110;CPE;2015-01-01;
BAR-EQ-111;CPE;2015-01-01;
BAR-EQ-112;CPE;2015-01-01;
BAR-EQ-113;CPE;2015-01-01;
BAR-EQ-114;CPE;2015-01-01;
BAR-EQ-115;CPE;2015-01-01;
BAR-SE-104;CPE;2015-01-01;
BAR-SE-105;CPE;2015-01-01;
BAR-SE-106;CPE;2015-01-01;
BAR-SE-107;CPE;2015-01-01;
BAR-SE-108;CPE;2015-01-01;
BAR-SE-109;CPE;2015-01-01;
BAR-TH-101;CPE;2015-01-01;
BAR-TH-102;CPE;2015-01-01;
BAR-TH-104;CPE;2015-01-01;
BAR-TH-106;CPE;2015-01-01;
BAR-TH-107;CPE;2015-01-01;
BAR-TH-107-SE;CPE;2015-01-01;
BAR-TH-110;CPE;2015-01-01;
BAR-TH-111;CPE;2015-01-01;
BAR-TH-112;CPE;2015-01-01;
BAR-TH-113;CPE;2015-01-01;
BAR-TH-115;CPE;2015-01-01;
BAR-TH-116;CPE;2015-01-01;
BAR-TH-117;CPE;2015-01-01;
BAR-TH-118;CPE;2015-01-01;
BAR-TH-121;CPE;2015-01-01;
BAR-TH-122;CPE;2015-01-01;
BAR-TH-123;CPE;2015-01-01;
BAR-TH-124;CPE;2015-01-01;
BAR-TH-125;CPE;2015-01-01;
BAR-TH-127;CPE;2015-01-01;
BAR-TH-129;CPE;2015-01-01;
BAR-TH-130;CPE;2015-01-01;
BAR-TH-131;CPE;2015-01-01;
BAR-TH-135;CPE;2015-01-01;
BAR-TH-137;CPE;2015-01-01;
BAR-TH-139;CPE;2015-01-01;
BAR-TH-141;CPE;2015-01-01;
BAR-TH-143;CPE;2015-01-01;
BAR-TH-145;CPE;2015-01-01;
BAR-TH-148;CPE;2015-01-01;
BAR-TH-150;CPE;2015-01-01;
BAR-TH-155;CPE;2015-01-01;
BAR-TH-158;CPE;2015-01-01;
BAR-TH-159;CPE;2015-01-01;
BAR-TH-160;CPE;2015-01-01;
BAR-TH-161;CPE;2015-01-01;
BAR-TH-162;CPE;2015-01-01;
BAR-TH-163;CPE;2015-01-01;
BAR-TH-164;CPE;2015-01-01;
BAR-TH-165;CPE;2015-01-01;
BAR-TH-166;CPE;2015-01-01;
BAR-TH-167;CPE;2015-01-01;
BAR-TH-168;CPE;2015-01-01;
BAR-TH-169;CPE;2015-01-01;
BAR-TH-170;CPE;2015-01-01;
BAR-TH-171;CPE;2015-01-01;
BAR-TH-172;CPE;2015-01-01;
BAT-EN-101;CPE;2015-01-01;
BAT-EN-102;CPE;2015-01-01;
BAT-EN-103;CPE;2015-01-01;
BAT-EN-104;CPE;2015-01-01;
BAT-EN-106;CPE;2015-01-01;
BAT-EN-107;CPE;2015-01-01;
BAT-EN-108;CPE;2015-01-01;
BAT-EN-109;CPE;2015-01-01;
BAT-EN-110;CPE;2015-01-01;
BAT-EN-111;CPE;2015-01-01;
BAT-EN-112;CPE;2015-01-01;
BAT-EN-113;CPE;2015-01-01;
BAT-EQ-111;CPE;2015-01-01;
BAT-EQ-114;CPE;2015-01-01;
BAT-EQ-116;CPE;2015-01-01;
BAT-EQ-117;CPE;2015-01-01;
BAT-EQ-123;CPE;2015-01-01;
BAT-EQ-124;CPE;2015-01-01;
BAT-EQ-125;CPE;2015-01-01;
BAT-EQ-126;CPE;2015-01-01;
BAT-EQ-127;CPE;2015-01-01;
BAT-EQ-129;CPE;2015-01-01;
BAT-EQ-130;CPE;2015-01-01;
BAT-EQ-131;CPE;2015-01-01;
BAT-EQ-132;CPE;2015-01-01;
BAT-EQ-133;CPE;2015-01-01;
BAT-EQ-134;CPE;2015-01-01;
BAT-SE-103;CPE;2015-01-01;
BAT-SE-104;CPE;2015-01-01;
BAT-TH-102;CPE;2015-01-01;
BAT-TH-103;CPE;2015-01-01;
BAT-TH-104;CPE;2015-01-01;
BAT-TH-105;CPE;2015-01-01;
BAT-TH-106;CPE;2015-01-01;
BAT-TH-108;CPE;2015-01-01;
BAT-TH-109;CPE;2015-01-01;
BAT-TH-110;CPE;2015-01-01;
BAT-TH-111;CPE;2015-01-01;
BAT-TH-112;CPE;2015-01-01;
BAT-TH-113;CPE;2015-01-01;
BAT-TH-115;CPE;2015-01-01;
BAT-TH-116;CPE;2015-01-01;
BAT-TH-119;CPE;2015-01-01;
BAT-TH-121;CPE;2015-01-01;
BAT-TH-122;CPE;2015-01-01;
BAT-TH-125;CPE;2015-01-01;
BAT-TH-126;CPE;2015-01-01;
BAT-TH-127;CPE;2015-01-01;
BAT-TH-134;CPE;2015-01-01;
BAT-TH-135;CPE;2015-01-01;
BAT-TH-139;CPE;2015-01-01;
BAT-TH-140;CPE;2015-01-01;
BAT-TH-141;CPE;2015-01-01;
BAT-TH-142;CPE;2015-01-01;
BAT-TH-143;CPE;2015-01-01;
BAT-TH-145;CPE;2015-01-01;
BAT-TH-146;CPE;2015-01-01;
BAT-TH-153;CPE;2015-01-01;
BAT-TH-154;CPE;2015-01-01;
BAT-TH-155;CPE;2015-01-01;
BAT-TH-156;CPE;2015-01-01;
BAT-TH-157;CPE;2015-01-01;
BAT-TH-158;CPE;2015-01-01;
BAT-TH-159;CPE;2015-01-01;
BAT-TH-160;CPE;2015-01-01;
